FIPS,quadrant,avg_down,avg_up,max_down,max_up,num_providers,num_platforms,top_plat_type,top_plat_ratio,bscore_raw,bscore_norm,BldgArea,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,NumBldgs,NumFloors,UnitsRes,UnitsTotal,Building Type_Commercial & Office Buildings,Building Type_Industrial & Manufacturing Buildings,Building Type_Mixed Residential & Commercial Buildings,Building Type_Multi-Family Elevator Buildings,Building Type_Multi-Family Walk-Up Buildings,Building Type_One & Two Family Buildings,Building Type_Open Space & Outdoor Recreation,Building Type_Parking Facilities,Building Type_Public Facilities & Institutions,Building Type_Transportation & Utility,Building Type_Vacant Land,Population Density (per sq. mile),Area (Land),Area Total:,Area Total: Area (Water),Total Population:,Households:,Households: Less than $10_000,Households: $10_000 to $14_999,Households: $15_000 to $19_999,Households: $20_000 to $24_999,Households: $25_000 to $29_999,Households: $30_000 to $34_999,Households: $35_000 to $39_999,Households: $40_000 to $44_999,Households: $45_000 to $49_999,Households: $50_000 to $59_999,Households: $60_000 to $74_999,Households: $75_000 to $99_999,Households: $100_000 to $124_999,Households: $125_000 to $149_999,Households: $150_000 to $199_999,Households: $200_000 or More,Per capita income (In 2014 Inflation adjusted dollars),Gini Index
36047101200,3,53.06451613,35.01212903,101,100.0,4,3,Cable,0.355555556,82.67058065,-0.995609274,665723,15079,650644,11114,3965,0,0,0,489,597.42,736,752,4,0,2,0,4,436,0,0,0,0,11,35057.1,0.062070172,0.06207017,0.0,2176,719,12,33,10,37,0,49,54,55,27,52,105,157,28,25,33,42,25945.0,0.3675
36047101800,3,69.02083333,45.24966667,101,100.0,2,3,Cable,0.417391304,102.7456667,-0.889572451,925422,81562,843860,11161,40678,29223,0,0,334,375.0,780,788,1,0,2,0,8,257,11,0,2,1,0,15102.02,0.108727145,0.1087271,0.0,1642,793,23,12,19,23,27,43,38,39,61,50,35,61,97,107,128,30,45456.0,0.3645
36047102400,3,51.875,33.9565,101,100.0,3,3,Copper,0.420512821,80.45325,-1.007321239,711639,33345,678294,5298,13800,2088,0,0,426,738.48,626,645,5,0,1,0,27,318,0,2,1,1,8,35920.53,0.055260874,0.05526087,0.0,1985,649,40,4,6,31,14,40,18,0,101,108,43,157,41,17,29,0,22252.0,0.3122
36047105801,3,51.75,20.9152,101,100.0,8,3,Cable,0.352941176,76.3076,-1.029218608,4995130,888650,4106480,0,0,888650,0,0,37,77.0,4784,4789,0,0,0,3,0,0,0,5,0,0,2,41420.19,0.160646304,0.1606463,0.0,6654,3341,649,599,100,256,137,65,122,266,234,142,457,179,37,12,28,58,20946.0,0.4936
36047107800,3,66.89130435,43.5206087,101,100.0,7,3,Cable,0.389830508,102.2516087,-0.89218207,2743897,1254604,1489293,107512,4640,115683,512835,499559,484,1068.0,1751,1808,1,31,3,0,34,350,0,11,7,2,1,18939.32,0.195571949,0.1955719,0.0,3704,1729,46,56,57,46,131,144,95,58,41,184,253,335,121,59,61,42,36921.0,0.4262
36047110400,3,60.18711656,37.58817178,101,100.0,11,3,Cable,0.3,94.58120245,-0.93269724,4090399,2527965,1562434,364967,356877,121355,501013,1020044,730,1131.75,1713,1964,29,25,9,1,140,329,1,37,18,7,41,16443.38,0.287349594,0.2873496,0.0,4725,1618,375,150,58,67,30,143,63,20,46,119,174,209,73,38,34,19,17010.0,0.4858
36047112200,3,67.64516129,41.73677419,101,100.0,3,3,Copper,0.29787234,100.1135484,-0.903475328,1215979,141974,1074005,75088,37388,294,0,0,485,847.5,1109,1138,1,0,19,0,130,222,1,2,12,0,21,55156.04,0.062658591,0.06265859,0.0,3456,1073,272,58,73,37,97,33,41,56,37,95,115,68,34,31,15,11,13890.0,0.5054
36047112600,3,66.81081081,41.40540541,101,100.0,4,3,Copper,0.55,99.61351351,-0.906116518,1784098,467837,1316261,36220,39130,117900,8124,35313,448,840.0,1440,1571,2,4,28,1,158,182,4,1,8,0,3,60499.66,0.065058216,0.06505822,0.0,3936,1261,220,84,110,80,44,62,45,120,31,148,34,139,102,24,18,0,14985.0,0.4498
36047115200,3,68.89130435,44.31252174,101,100.0,3,3,Copper,0.337837838,102.6475652,-0.890090623,1293806,239762,1054044,8816,50401,19173,0,35532,457,888.75,946,1006,2,4,30,1,82,257,0,13,12,7,26,48202.93,0.064145471,0.06414547,0.0,3092,974,306,85,26,45,45,34,72,41,13,85,44,70,38,25,24,21,13970.0,0.5507
36047115800,3,65.62162162,41.36778378,101,100.0,4,3,Fiber,0.333333333,98.40551351,-0.912497187,1086177,84630,1001547,37380,10536,1200,0,0,470,1003.0,988,1014,3,0,12,0,111,309,2,3,6,0,15,47611.49,0.059838501,0.0598385,0.0,2849,946,141,34,19,71,76,36,27,101,34,67,61,120,93,6,54,6,19630.0,0.4477
36047116400,3,68.66666667,43.09564444,101,100.0,3,3,Fiber,0.352941176,101.8144889,-0.894490942,1103854,141227,962627,84308,22700,0,2290,0,601,1131.75,995,1025,2,0,21,0,72,423,0,13,8,0,19,41781.59,0.070102641,0.07010264,0.0,2929,886,194,33,54,35,48,17,100,121,22,100,32,46,41,5,10,28,13964.0,0.494
36047117000,3,57.02631579,35.82989474,101,100.0,8,3,Copper,0.416666667,89.04126316,-0.96195926,1172511,590613,581898,167380,103650,23465,163136,28973,314,590.75,523,1230,12,11,47,0,31,142,0,12,6,2,3,30595.45,0.05938792,0.05938792,0.0,1817,577,109,14,65,18,33,16,65,45,51,11,37,75,23,10,0,5,14516.0,0.4483
